period,source_name,destination_name,firm,firm_type,cc1 lcu fee,cc1 fx margin,cc1 total cost %
2016_4Q,United States,Kenya,Ria,Money Transfer Operator,8.0,2.86,6.86
2016_4Q,United States,Kenya,Western Union,Money Transfer Operator,4.99,5.28,7.77
2016_4Q,United States,Kenya,Ria,Money Transfer Operator,12.0,2.86,8.86
2016_4Q,United States,Kenya,WorldRemit,Money Transfer Operator,0.01,2.74,2.75
2016_4Q,United States,Kenya,MoneyGram,Money Transfer Operator,0.0,3.42,3.42
2016_4Q,United States,Nigeria,Western Union,Money Transfer Operator,10.0,0.0,5.0
2016_4Q,United States,Nigeria,Sigue Money Transfers,Money Transfer Operator,10.0,0.0,5.0
2016_4Q,United States,Nigeria,Western Union,Money Transfer Operator,9.99,0.0,5.0
2016_4Q,United States,Nigeria,Western Union,Money Transfer Operator,15.0,0.0,7.5
2016_4Q,United States,Nigeria,Transfast,Money Transfer Operator,4.99,0.0,2.5
2016_4Q,United States,Nigeria,Transfast,Money Transfer Operator,0.0,0.0,0.0
2016_4Q,United States,Nigeria,WorldRemit,Money Transfer Operator,4.99,0.0,2.5
2016_4Q,United States,South Africa,MoneyGram,Money Transfer Operator,6.0,2.94,5.94
2016_4Q,United States,South Africa,Western Union,Money Transfer Operator,10.5,1.52,6.77
2016_4Q,United States,South Africa,WorldRemit,Money Transfer Operator,6.99,0.53,4.02
2016_4Q,United States,South Africa,Xoom,Money Transfer Operator,4.99,2.03,4.53
2016_4Q,South Africa,Kenya,ABSA,Bank,240.0,2.09,19.61
2016_4Q,South Africa,Kenya,exchange4free.com,Money Transfer Operator,0.0,4.52,4.52
2016_4Q,South Africa,Kenya,MoneyGram,Money Transfer Operator,138.8,6.13,16.26
2016_4Q,South Africa,Kenya,Western Union,Money Transfer Operator,161.94,3.46,15.28
2016_4Q,South Africa,Kenya,ABSA,Bank,202.0,2.09,16.84
2016_4Q,South Africa,Nigeria,ABSA,Bank,240.0,2.84,20.36
2016_4Q,South Africa,Nigeria,ABSA,Bank,202.0,2.84,17.58
2016_4Q,South Africa,Nigeria,exchange4free.com,Money Transfer Operator,0.0,9.56,9.56
2016_4Q,South Africa,Nigeria,First National Bank of South Africa,Money Transfer Operator,265.0,7.27,26.61
2016_4Q,South Africa,Nigeria,MoneyGram,Money Transfer Operator,138.8,6.13,16.26
2016_4Q,South Africa,Nigeria,Nedbank,Bank,256.0,0.79,19.47
2016_4Q,South Africa,Nigeria,Standard Bank,Bank,260.0,7.81,26.79
2016_4Q,South Africa,Nigeria,Western Union,Money Transfer Operator,161.94,3.46,15.28
2016_4Q,South Africa,Tanzania,ABSA,Bank,240.0,4.69,22.21
2016_4Q,South Africa,Tanzania,MoneyGram,Money Transfer Operator,138.8,6.13,16.26
2016_4Q,South Africa,Tanzania,Western Union,Money Transfer Operator,161.94,3.46,15.28
2016_4Q,South Africa,Tanzania,ABSA,Bank,202.0,4.69,19.43
2016_4Q,Belgium,"Congo, Dem. Rep.",La Poste via Western Union,Money Transfer Operator / Post office,6.9,4.23,9.16
2016_4Q,France,Senegal,La Poste via Western Union,Money Transfer Operator / Post office,12.0,0.0,8.57
2016_4Q,Germany,Ghana,Postbank via Western Union,Bank / Money Transfer Operator,19.9,6.83,21.05
2016_4Q,Germany,Nigeria,Postbank via Western Union,Bank / Money Transfer Operator,19.9,-0.28,13.94
2016_4Q,Italy,Senegal,Poste Italiane via Eurogiro,Post office,12.0,0.0,8.57
2016_4Q,Italy,Ethiopia,Poste Italiane via MoneyGram,Money Transfer Operator,7.4,4.97,10.26
2016_4Q,Italy,Nigeria,Poste Italiane via MoneyGram,Money Transfer Operator,7.4,-1.62,3.66
2016_4Q,Italy,Senegal,Poste Italiane via MoneyGram,Money Transfer Operator,7.4,0.0,5.29
2017_1Q,Italy,Nigeria,Banca Intesa SanPaolo via Western Union,Bank / Money Transfer Operator,7.5,1.98,7.34
2017_1Q,Italy,Senegal,Banca Intesa SanPaolo via Western Union,Bank / Money Transfer Operator,7.5,0.0,5.36
2017_1Q,Belgium,"Congo, Dem. Rep.",Atena Money Transfert,Money Transfer Operator,5.0,3.62,7.19
2017_1Q,Belgium,"Congo, Dem. Rep.",MoneyGram,Money Transfer Operator,6.9,5.25,10.18
2017_1Q,Belgium,"Congo, Dem. Rep.",MoneyTrans,Money Transfer Operator / Post office,3.0,4.55,6.69
2017_1Q,Belgium,"Congo, Dem. Rep.",Sigue Money Transfers,Money Transfer Operator,4.0,5.48,8.33
2017_1Q,Belgium,"Congo, Dem. Rep.",Small World,Money Transfer Operator,4.5,7.34,10.55
2017_1Q,Belgium,"Congo, Dem. Rep.",Western Union,Money Transfer Operator,6.9,4.48,9.4
2017_1Q,Belgium,"Congo, Dem. Rep.",Western Union,Money Transfer Operator,6.9,5.29,10.22
2017_1Q,Belgium,"Congo, Dem. Rep.",WorldRemit,Money Transfer Operator,5.99,3.62,7.9
2017_1Q,Canada,Ghana,MoneyGram,Money Transfer Operator,15.0,2.72,10.22
2017_1Q,Canada,Ghana,Ria,Money Transfer Operator,8.0,1.46,5.46
2017_1Q,Canada,Ghana,Royal Bank of Canada,Bank,15.0,2.29,9.79
2017_1Q,Canada,Ghana,ScotiaBank,Bank,11.0,2.97,8.47
2017_1Q,Canada,Ghana,Sigue Money Transfers,Money Transfer Operator,8.0,1.46,5.46
2017_1Q,Canada,Ghana,Toronto Dominion Bank,Bank,30.0,2.35,17.35
2017_1Q,Canada,Ghana,Western Union,Money Transfer Operator,15.0,2.97,10.47
2017_1Q,Canada,Ghana,WorldRemit,Money Transfer Operator,4.99,2.67,5.16
2017_1Q,Canada,Ghana,Xpress Money,Money Transfer Operator,10.0,1.53,6.53
2017_1Q,Canada,Kenya,MoneyGram,Money Transfer Operator,15.0,4.57,12.07
2017_1Q,Canada,Kenya,Ria,Money Transfer Operator,8.0,3.76,7.76
2017_1Q,Canada,Kenya,Royal Bank of Canada,Bank,15.0,2.47,9.97
2017_1Q,Canada,Kenya,ScotiaBank,Bank,11.0,2.64,8.14
2017_1Q,Canada,Kenya,Sigue Money Transfers,Money Transfer Operator,8.0,4.58,8.58
2017_1Q,Canada,Kenya,Small World,Money Transfer Operator,9.0,3.66,8.16
2017_1Q,Canada,Kenya,Toronto Dominion Bank,Bank,30.0,2.53,17.53
2017_1Q,Canada,Kenya,Western Union,Money Transfer Operator,16.0,2.64,10.64
2017_1Q,Canada,Kenya,WorldRemit,Money Transfer Operator,3.99,3.17,5.16
2017_1Q,Canada,Kenya,Xpress Money,Money Transfer Operator,8.0,4.28,8.28
2017_1Q,Canada,Nigeria,MoneyGram,Money Transfer Operator,15.0,0.51,8.01
2017_1Q,Canada,Nigeria,Sigue Money Transfers,Money Transfer Operator,12.0,1.75,7.75
2017_1Q,Canada,Nigeria,Small World,Money Transfer Operator,8.0,0.4,4.4
2017_1Q,Canada,Nigeria,Trans-Fast,Money Transfer Operator,4.99,3.38,5.87
2017_1Q,Canada,Nigeria,Trans-Fast,Money Transfer Operator,4.99,3.38,5.87
2017_1Q,Canada,Nigeria,Trans-Fast,Money Transfer Operator,4.99,3.38,5.87
2017_1Q,Canada,Nigeria,WorldRemit,Money Transfer Operator,3.99,0.8,2.79
2017_1Q,Canada,Nigeria,Xpress Money,Money Transfer Operator,9.0,10.89,15.39
2017_1Q,Canada,Rwanda,MoneyGram,Money Transfer Operator,15.0,3.48,10.98
2017_1Q,Canada,Rwanda,ScotiaBank,Bank,11.0,3.48,8.98
2017_1Q,Canada,Rwanda,Western Union,Money Transfer Operator,16.0,3.48,11.48
2017_1Q,Cameroon,Nigeria,Ecobank RapidCash,Bank,4453.0,0.0,4.79
2017_1Q,Cameroon,Nigeria,Money Express,Money Transfer Operator,4000.0,0.0,4.3
2017_1Q,Cameroon,Nigeria,MoneyGram,Money Transfer Operator,11000.0,1.95,13.77
2017_1Q,Cameroon,Nigeria,Western Union,Money Transfer Operator,4500.0,3.05,7.89
2017_1Q,Germany,Ghana,Azimo,Money Transfer Operator,2.99,4.68,6.81
2017_1Q,Germany,Ghana,MoneyGram,Money Transfer Operator,12.5,4.99,13.92
2017_1Q,Germany,Ghana,MoneyGram,Money Transfer Operator,6.5,4.99,9.63
2017_1Q,Germany,Ghana,Postbank,Post office,1.5,0.0,1.07
2017_1Q,Germany,Ghana,Postbank,Post office,8.5,0.0,6.07
2017_1Q,Germany,Ghana,Ria,Money Transfer Operator,10.0,5.43,12.58
2017_1Q,Germany,Ghana,Small World,Money Transfer Operator,8.0,3.61,9.32
2017_1Q,Germany,Ghana,Universal Money Transfer Gmbh,Money Transfer Operator,10.0,6.3,13.45
2017_1Q,Germany,Ghana,Western Union,Money Transfer Operator,14.9,5.87,16.51
2017_1Q,Germany,Ghana,Western Union,Money Transfer Operator,6.9,6.34,11.27
2017_1Q,Germany,Ghana,WorldRemit,Money Transfer Operator,5.99,1.96,6.24
2017_1Q,Germany,Nigeria,Azimo,Money Transfer Operator,0.0,-1.21,-1.21
2017_1Q,Germany,Nigeria,MoneyGram,Money Transfer Operator,12.5,1.85,10.77
2017_1Q,Germany,Nigeria,Postbank,Post office,1.5,0.0,1.07
2017_1Q,Germany,Nigeria,Postbank,Post office,8.5,0.0,6.07
2017_1Q,Germany,Nigeria,Ria,Money Transfer Operator,10.0,2.08,9.22
2017_1Q,Germany,Nigeria,Small World,Money Transfer Operator,8.0,1.84,7.56
2017_1Q,Germany,Nigeria,Western Union,Money Transfer Operator,14.9,5.3,15.94
2017_1Q,Germany,Nigeria,Western Union,Money Transfer Operator,6.9,2.81,7.74
2017_1Q,Germany,Nigeria,Western Union,Money Transfer Operator,2.9,2.81,4.88
2017_1Q,Germany,Nigeria,WorldRemit,Money Transfer Operator,5.99,2.76,7.04
2017_1Q,Spain,Nigeria,BBVA Dinero Express,Money Transfer Operator,5.0,2.11,5.68
2017_1Q,Spain,Nigeria,Maccorp Exact Change,Money Transfer Operator,6.9,1.64,6.57
2017_1Q,Spain,Nigeria,Money Exchange,Money Transfer Operator,4.9,1.84,5.34
2017_1Q,Spain,Nigeria,MoneyGram,Money Transfer Operator,8.9,0.9,7.25
2017_1Q,Spain,Nigeria,Ria,Money Transfer Operator,6.0,1.65,5.94
2017_1Q,Spain,Nigeria,Small World,Money Transfer Operator,6.0,0.24,4.52
2017_1Q,Spain,Nigeria,Transferwise,Money Transfer Operator,8.9,1.64,7.99
2017_1Q,Spain,Nigeria,Western Union,Money Transfer Operator,6.9,2.04,6.97
2017_1Q,France,Senegal,PayTop,Money Transfer Operator,0.0,0.0,0.0
2017_1Q,France,Senegal,La Poste,Money Transfer Operator / Post office,7.5,0.0,5.36
2017_1Q,France,Senegal,Moneyglobe,Money Transfer Operator,6.9,0.0,4.93
2017_1Q,France,Senegal,MoneyGram,Money Transfer Operator,7.5,0.0,5.36
2017_1Q,France,Senegal,Ria,Money Transfer Operator,6.9,0.0,4.93
2017_1Q,France,Senegal,Sigue Money Transfers,Money Transfer Operator,7.5,0.0,5.36
2017_1Q,France,Senegal,Societe Generale,Bank,10.0,0.0,7.14
2017_1Q,France,Senegal,Western Union,Money Transfer Operator,7.9,0.0,5.64
2017_1Q,France,Senegal,Western Union,Money Transfer Operator,6.5,0.0,4.64
2017_1Q,France,Senegal,Western Union,Money Transfer Operator,7.9,0.0,5.64
2017_1Q,United Kingdom,Ethiopia,Azimo,Money Transfer Operator,1.0,1.92,2.75
2017_1Q,United Kingdom,Ethiopia,Dahabshiil,Money Transfer Operator,7.2,2.3,8.3
2017_1Q,United Kingdom,Ethiopia,MoneyGram,Money Transfer Operator,19.0,4.37,20.2
2017_1Q,United Kingdom,Ethiopia,MoneyGram,Money Transfer Operator,9.7,4.37,20.2
2017_1Q,United Kingdom,Ethiopia,Western Union,Money Transfer Operator,9.9,7.05,15.3
2017_1Q,United Kingdom,Ethiopia,WorldRemit,Money Transfer Operator,5.99,3.48,8.47
2017_1Q,United Kingdom,Ghana,Azimo,Money Transfer Operator,2.99,6.42,8.91
2017_1Q,United Kingdom,Ghana,First African Remittances,Money Transfer Operator,6.0,0.62,5.62
2017_1Q,United Kingdom,Ghana,Ghana International Bank,Bank,25.0,0.0,20.83
2017_1Q,United Kingdom,Ghana,MoneyGram,Money Transfer Operator,9.9,3.18,11.43
2017_1Q,United Kingdom,Ghana,MoneyGram,Money Transfer Operator,9.79,0.8,8.96
2017_1Q,United Kingdom,Ghana,PayAfrique.com,Money Transfer Operator,7.99,5.66,12.32
2017_1Q,United Kingdom,Ghana,Ria,Money Transfer Operator,4.8,4.8,8.8
2017_1Q,United Kingdom,Ghana,Samba Money Transfers,Money Transfer Operator,1.98,2.46,4.11
2017_1Q,United Kingdom,Ghana,Sigue Money Transfers,Money Transfer Operator,6.0,2.77,7.77
2017_1Q,United Kingdom,Ghana,Small World,Money Transfer Operator,6.0,1.91,6.91
2017_1Q,United Kingdom,Ghana,Unity Link,Money Transfer Operator,7.0,0.62,6.46
2017_1Q,United Kingdom,Ghana,Unity Link,Money Transfer Operator,5.9,1.91,6.83
2017_1Q,United Kingdom,Ghana,Western Union,Money Transfer Operator,9.9,6.92,15.17
2017_1Q,United Kingdom,Ghana,Western Union,Money Transfer Operator,4.9,4.97,9.06
2017_1Q,United Kingdom,Ghana,WorldRemit,Money Transfer Operator,2.99,3.38,5.87
2017_1Q,United Kingdom,Ghana,Xpress Money,Money Transfer Operator,8.0,3.56,10.23
2017_1Q,United Kingdom,Kenya,Azimo,Money Transfer Operator,1.0,5.24,6.07
2017_1Q,United Kingdom,Kenya,Equity Direct,Money Transfer Operator,2.0,2.05,3.71
2017_1Q,United Kingdom,Kenya,MoneyGram,Money Transfer Operator,9.9,6.31,14.56
2017_1Q,United Kingdom,Kenya,MoneyGram,Money Transfer Operator,3.99,1.88,5.2
2017_1Q,United Kingdom,Kenya,MoneyGram,Money Transfer Operator,4.9,1.92,6.0
2017_1Q,United Kingdom,Kenya,Ria,Money Transfer Operator,3.6,4.38,7.38
2017_1Q,United Kingdom,Kenya,Sigue Money Transfers,Money Transfer Operator,4.8,3.19,7.19
2017_1Q,United Kingdom,Kenya,Skrill,Money Transfer Operator,2.28,4.27,6.17
2017_1Q,United Kingdom,Kenya,Small World,Money Transfer Operator,3.6,2.46,5.46
2017_1Q,United Kingdom,Kenya,Western Union,Money Transfer Operator,8.9,5.91,13.33
2017_1Q,United Kingdom,Kenya,Western Union,Money Transfer Operator,2.9,2.43,4.84
2017_1Q,United Kingdom,Kenya,WorldRemit,Money Transfer Operator,2.9,1.94,4.36
2017_1Q,United Kingdom,Kenya,WorldRemit,Money Transfer Operator,1.99,1.94,3.6
2017_1Q,United Kingdom,Kenya,Xpress Money,Money Transfer Operator,4.5,1.13,4.88
2017_1Q,United Kingdom,Nigeria,Azimo,Money Transfer Operator,0.0,-0.66,-0.66
2017_1Q,United Kingdom,Nigeria,MoneyGram,Money Transfer Operator,7.9,1.5,8.08
2017_1Q,United Kingdom,Nigeria,MoneyGram,Money Transfer Operator,4.9,1.5,5.58
2017_1Q,United Kingdom,Nigeria,Moneyline UK,Money Transfer Operator,6.0,0.37,5.37
2017_1Q,United Kingdom,Nigeria,Ria,Money Transfer Operator,6.0,1.43,6.43
2017_1Q,United Kingdom,Nigeria,Sigue Money Transfers,Money Transfer Operator,6.0,1.78,6.78
2017_1Q,United Kingdom,Nigeria,Small World,Money Transfer Operator,10.0,1.01,9.34
2017_1Q,United Kingdom,Nigeria,Western Union,Money Transfer Operator,8.9,3.17,10.59
2017_1Q,United Kingdom,Nigeria,Western Union,Money Transfer Operator,6.9,3.17,8.92
2017_1Q,United Kingdom,Nigeria,Western Union,Money Transfer Operator,4.9,3.17,7.25
2017_1Q,United Kingdom,Nigeria,WorldRemit,Money Transfer Operator,1.99,1.62,3.28
2017_1Q,United Kingdom,Rwanda,Azimo,Money Transfer Operator,2.99,7.47,9.96
2017_1Q,United Kingdom,Rwanda,MoneyGram,Money Transfer Operator,19.0,3.3,19.13
2017_1Q,United Kingdom,Rwanda,MoneyGram,Money Transfer Operator,9.7,2.93,11.01
2017_1Q,United Kingdom,Rwanda,Western Union,Money Transfer Operator,9.9,5.11,13.36
2017_1Q,United Kingdom,Rwanda,WorldRemit,Money Transfer Operator,5.99,2.76,7.75
2017_1Q,United Kingdom,Rwanda,WorldRemit,Money Transfer Operator,5.99,2.76,7.75
2017_1Q,United Kingdom,Rwanda,Xpress Money,Money Transfer Operator,8.0,15.97,22.63
2017_1Q,United Kingdom,Tanzania,MoneyGram,Money Transfer Operator,19.0,3.86,19.7
2017_1Q,United Kingdom,Tanzania,MoneyGram,Money Transfer Operator,9.7,3.86,19.7
2017_1Q,United Kingdom,Tanzania,Western Union,Money Transfer Operator,8.9,6.01,13.42
2017_1Q,United Kingdom,Tanzania,Western Union,Money Transfer Operator,4.9,4.03,8.11
2017_1Q,United Kingdom,Tanzania,WorldRemit,Money Transfer Operator,5.99,3.7,8.69
2017_1Q,United Kingdom,Uganda,Azimo,Money Transfer Operator,2.99,0.11,2.6
2017_1Q,United Kingdom,Uganda,Dahabshiil,Money Transfer Operator,7.2,1.11,7.11
2017_1Q,United Kingdom,Uganda,Lebara,Money Transfer Operator,2.0,2.48,4.13
2017_1Q,United Kingdom,Uganda,MoneyGram,Money Transfer Operator,9.99,4.35,12.68
2017_1Q,United Kingdom,Uganda,MoneyGram,Money Transfer Operator,9.7,4.35,12.68
2017_1Q,United Kingdom,Uganda,Ria,Money Transfer Operator,6.0,4.32,9.32
2017_1Q,United Kingdom,Uganda,Small World,Money Transfer Operator,5.99,3.23,8.22
2017_1Q,United Kingdom,Uganda,Western Union,Money Transfer Operator,8.9,5.11,12.53
2017_1Q,United Kingdom,Uganda,Western Union,Money Transfer Operator,6.9,5.56,11.31
2017_1Q,United Kingdom,Uganda,WorldRemit,Money Transfer Operator,3.99,3.37,6.7
2017_1Q,United Kingdom,Uganda,Xpress Money,Money Transfer Operator,8.0,1.62,8.29
2017_1Q,United Kingdom,South Africa,1st Contact Forex,Money Transfer Operator,10.0,2.21,10.54
2017_1Q,United Kingdom,South Africa,Azimo,Money Transfer Operator,2.99,1.55,4.05
2017_1Q,United Kingdom,South Africa,Easy Exchange,Money Transfer Operator,6.0,3.98,8.98
2017_1Q,United Kingdom,South Africa,ExpressLinks UK,Money Transfer Operator,5.0,5.08,9.25
2017_1Q,United Kingdom,South Africa,MoneyGram,Money Transfer Operator,3.6,7.51,10.51
2017_1Q,United Kingdom,South Africa,MoneyGram,Money Transfer Operator,6.7,9.12,14.7
2017_1Q,United Kingdom,South Africa,Mukuru,Money Transfer Operator,1.0,2.71,3.55
2017_1Q,United Kingdom,South Africa,Small World,Money Transfer Operator,5.0,0.24,4.4
2017_1Q,United Kingdom,South Africa,Tranzfers.com,Money Transfer Operator,7.0,2.38,8.21
2017_1Q,United Kingdom,South Africa,Western Union,Money Transfer Operator,4.9,3.06,7.15
2017_1Q,United Kingdom,South Africa,Western Union,Money Transfer Operator,8.9,5.93,13.35
2017_1Q,United Kingdom,South Africa,WorldRemit,Money Transfer Operator,2.99,2.47,4.96
2017_1Q,United Kingdom,South Africa,WorldRemit,Money Transfer Operator,2.99,2.47,4.96
2017_1Q,Ghana,Nigeria,Ecobank RapidCash,Bank,20.5,0.0,6.83
2017_1Q,Ghana,Nigeria,United Bank for Africa (UBA),Bank,17.5,0.0,5.83
2017_1Q,Italy,Ethiopia,Azimo,Money Transfer Operator,2.99,1.84,3.98
2017_1Q,Italy,Ethiopia,MoneyGram,Money Transfer Operator,7.4,4.58,9.86
2017_1Q,Italy,Ethiopia,Ria,Money Transfer Operator,4.2,4.77,7.77
2017_1Q,Italy,Ethiopia,Sigue Money Transfers,Money Transfer Operator,5.0,5.0,8.57
2017_1Q,Italy,Ethiopia,Small World,Money Transfer Operator,6.0,1.86,6.15
2017_1Q,Italy,Ethiopia,Small World,Money Transfer Operator,1.11,1.86,2.66
2017_1Q,Italy,Ethiopia,Western Union,Money Transfer Operator,7.5,3.55,8.9
2017_1Q,Italy,Ethiopia,WorldRemit,Money Transfer Operator,3.99,3.32,6.17
2017_1Q,Italy,Nigeria,Azimo,Money Transfer Operator,0.0,-2.23,-2.23
2017_1Q,Italy,Nigeria,Banca Monte dei Paschi di Siena,Bank,21.0,0.0,15.0
2017_1Q,Italy,Nigeria,Banca Monte dei Paschi di Siena,Bank,0.0,0.0,0.0
2017_1Q,Italy,Nigeria,Extrabanca,Money Transfer Operator,4.0,1.77,4.62
2017_1Q,Italy,Nigeria,Extrabanca,Money Transfer Operator,5.0,1.77,5.34
2017_1Q,Italy,Nigeria,MoneyGram,Money Transfer Operator,7.4,0.14,5.42
2017_1Q,Italy,Nigeria,Ria,Money Transfer Operator,3.5,1.36,3.86
2017_1Q,Italy,Nigeria,Sigue Money Transfers,Money Transfer Operator,5.0,1.57,5.14
2017_1Q,Italy,Nigeria,Small World,Money Transfer Operator,1.4,-0.94,0.06
2017_1Q,Italy,Nigeria,Unicredit Banca,Bank,20.5,0.0,14.64
2017_1Q,Italy,Nigeria,Western Union,Money Transfer Operator,7.5,1.98,7.34
2017_1Q,Italy,Nigeria,Western Union,Money Transfer Operator,6.0,1.98,6.27
2017_1Q,Italy,Nigeria,WorldRemit,Money Transfer Operator,5.99,1.93,6.21
2017_1Q,Italy,Senegal,Azimo,Money Transfer Operator,5.6,0.0,4.0
2017_1Q,Italy,Senegal,Azimo,Money Transfer Operator,12.0,0.9,9.47
2017_1Q,Italy,Senegal,Banca Monte dei Paschi di Siena,Bank,21.0,0.0,15.0
2017_1Q,Italy,Senegal,Banca Monte dei Paschi di Siena,Bank,0.0,0.0,0.0
2017_1Q,Italy,Senegal,Extrabanca,Money Transfer Operator,4.0,4.87,7.73
2017_1Q,Italy,Senegal,Extrabanca,Money Transfer Operator,5.0,4.87,8.44
2017_1Q,Italy,Senegal,MoneyGram,Money Transfer Operator,7.4,0.0,5.29
2017_1Q,Italy,Senegal,Ria,Money Transfer Operator,3.5,0.0,2.5
2017_1Q,Italy,Senegal,Sigue Money Transfers,Money Transfer Operator,5.0,0.0,3.57
2017_1Q,Italy,Senegal,Small World,Money Transfer Operator,5.0,0.0,3.57
2017_1Q,Italy,Senegal,Small World,Money Transfer Operator,1.4,0.0,1.0
2017_1Q,Italy,Senegal,Unicredit Banca,Bank,9.2,0.0,6.57
2017_1Q,Italy,Senegal,Unicredit Banca,Bank,12.5,0.0,8.93
2017_1Q,Italy,Senegal,Western Union,Money Transfer Operator,4.5,0.0,3.21
2017_1Q,Italy,Senegal,WorldRemit,Money Transfer Operator,5.99,0.0,4.28
2017_1Q,Kenya,Rwanda,ABC Bank,Money Transfer Operator,1650.0,1.44,10.61
2017_1Q,Kenya,Rwanda,Citibank,Bank,1800.0,0.97,10.97
2017_1Q,Kenya,Rwanda,Development Bank of Kenya,Bank,2053.0,0.87,12.28
2017_1Q,Kenya,Rwanda,Ecobank,Bank,2700.0,1.08,16.08
2017_1Q,Kenya,Rwanda,Equatorial Commercial Bank,Bank,1650.0,1.29,10.45
2017_1Q,Kenya,Rwanda,GT Bank,Bank,1650.0,1.6,10.76
2017_1Q,Kenya,Rwanda,Kenya Commercial Bank (KCB),Bank,2200.0,1.03,13.25
2017_1Q,Kenya,Rwanda,MoneyGram,Money Transfer Operator,315.0,1.03,2.78
2017_1Q,Kenya,Rwanda,M-Pesa,Mobile Operator,110.0,1.18,1.79
2017_1Q,Kenya,Rwanda,United Bank for Africa (UBA),Bank,1650.0,1.08,10.25
2017_1Q,Kenya,Rwanda,Western Union,Money Transfer Operator,1320.0,1.03,8.36
2017_1Q,Kenya,Tanzania,ABC Bank,Money Transfer Operator,1650.0,1.44,10.61
2017_1Q,Kenya,Tanzania,Citibank,Bank,1800.0,0.97,10.97
2017_1Q,Kenya,Tanzania,Development Bank of Kenya,Bank,2053.0,0.87,12.28
2017_1Q,Kenya,Tanzania,Ecobank,Bank,2700.0,1.08,16.08
2017_1Q,Kenya,Tanzania,Equatorial Commercial Bank,Bank,1650.0,1.29,10.45
2017_1Q,Kenya,Tanzania,GT Bank,Bank,1650.0,1.6,10.76
2017_1Q,Kenya,Tanzania,Kenya Commercial Bank (KCB),Bank,2200.0,1.03,13.25
2017_1Q,Kenya,Tanzania,MoneyGram,Money Transfer Operator,315.0,1.03,2.78
2017_1Q,Kenya,Tanzania,M-Pesa,Mobile Operator,110.0,1.18,1.79
2017_1Q,Kenya,Tanzania,Posta Kenya,Post office,1740.0,1.1,10.77
2017_1Q,Kenya,Tanzania,UBA Africash,Bank,514.5,1.29,4.14
2017_1Q,Kenya,Tanzania,United Bank for Africa (UBA),Bank,1650.0,1.29,10.45
2017_1Q,Kenya,Tanzania,Western Union,Money Transfer Operator,1320.0,1.03,8.36
2017_1Q,Kenya,Uganda,ABC Bank,Money Transfer Operator,1650.0,1.44,10.61
2017_1Q,Kenya,Uganda,Citibank,Bank,1800.0,0.97,10.97
2017_1Q,Kenya,Uganda,Development Bank of Kenya,Bank,2053.0,0.87,12.28
2017_1Q,Kenya,Uganda,Ecobank,Bank,2700.0,1.08,16.08
2017_1Q,Kenya,Uganda,Equatorial Commercial Bank,Bank,1650.0,1.29,10.45
2017_1Q,Kenya,Uganda,GT Bank,Bank,1650.0,1.6,10.76
2017_1Q,Kenya,Uganda,Kenya Commercial Bank (KCB),Bank,2200.0,1.03,13.25
2017_1Q,Kenya,Uganda,MoneyGram,Money Transfer Operator,315.0,1.03,2.78
2017_1Q,Kenya,Uganda,M-Pesa,Mobile Operator,110.0,1.18,1.79
2017_1Q,Kenya,Uganda,Posta Kenya,Post office,1740.0,1.1,10.77
2017_1Q,Kenya,Uganda,UBA Africash,Bank,514.5,1.29,4.14
2017_1Q,Kenya,Uganda,United Bank for Africa (UBA),Bank,1650.0,1.29,10.45
2017_1Q,Kenya,Uganda,Western Union,Money Transfer Operator,1320.0,1.03,8.36
2017_1Q,Netherlands,Ghana,ABN AMRO Bank,Bank,5.5,0.0,3.93
2017_1Q,Netherlands,Ghana,ING Bank/Postbank,Bank,6.0,0.0,4.29
2017_1Q,Netherlands,Ghana,MoneyGram,Money Transfer Operator,9.0,5.0,11.43
2017_1Q,Netherlands,Ghana,MoneyTrans,Money Transfer Operator / Post office,8.0,2.63,8.34
2017_1Q,Netherlands,Ghana,Rabobank,Money Transfer Operator,10.0,0.0,7.14
2017_1Q,Netherlands,Ghana,Unity Monetary Services BV,Money Transfer Operator,10.0,0.25,7.39
2017_1Q,Netherlands,Ghana,Western Union,Money Transfer Operator,6.9,5.03,9.96
2017_1Q,Netherlands,Ghana,Western Union,Money Transfer Operator,6.9,4.39,9.32
2017_1Q,Netherlands,Ghana,WorldRemit,Money Transfer Operator,5.99,1.33,5.61
2017_1Q,Netherlands,Ghana,WorldRemit,Money Transfer Operator,5.99,1.98,6.26
2017_1Q,Netherlands,Nigeria,ABN AMRO Bank,Bank,5.5,0.0,3.93
2017_1Q,Netherlands,Nigeria,ING Bank/Postbank,Bank,6.0,0.0,4.29
2017_1Q,Netherlands,Nigeria,MoneyGram,Money Transfer Operator,9.0,0.94,7.37
2017_1Q,Netherlands,Nigeria,MoneyTrans,Money Transfer Operator / Post office,8.0,3.4,9.11
2017_1Q,Netherlands,Nigeria,Western Union,Money Transfer Operator,6.9,2.47,7.4
2017_1Q,Netherlands,Nigeria,Western Union,Money Transfer Operator,6.9,2.47,7.4
2017_1Q,Netherlands,Nigeria,WorldRemit,Money Transfer Operator,5.99,2.41,6.69
2017_1Q,Rwanda,Kenya,Ecobank RapidCash,Bank,3852.0,1.24,3.8
2017_1Q,Rwanda,Kenya,Express Money,Money Transfer Operator,6907.0,1.34,5.95
2017_1Q,Rwanda,Kenya,Express Money,Money Transfer Operator,6907.0,1.34,5.95
